"PLOT.ID","PANEL","STATUS","ECO.SITE","ECO.SITE.MATCHED"
"SS-301","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"SS-302","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"SS-303","oversample 2018","REJECTED",NA,NA
"SS-304","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"SD-321","2018","REJECTED",NA,NA
"SD-322","2018","REJECTED",NA,NA
"SD-323","2018","SAMPLED","NEED MATCHED",FALSE
"SD-324","2018","SAMPLED","NEED MATCHED",FALSE
"SD-325","2018","SAMPLED","NEED MATCHED",FALSE
"SD-326","2018","SAMPLED","NEED MATCHED",FALSE
"SD-327","2018","SAMPLED","NEED MATCHED",FALSE
"SD-328","2018","SAMPLED","NEED MATCHED",FALSE
"SD-330","2018","SAMPLED","NEED MATCHED",FALSE
"SD-331","2018","SAMPLED","NEED MATCHED",FALSE
"SD-332","2018","SAMPLED","NEED MATCHED",FALSE
"SD-333","2018","SAMPLED","NEED MATCHED",FALSE
"SD-334","2018","SAMPLED","NEED MATCHED",FALSE
"SD-335","2018","SAMPLED","NEED MATCHED",FALSE
"SD-396","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"SD-397","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"SD-398","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"MC-044","2019","SAMPLED","NEED MATCHED",FALSE
"AS-002","2019","SAMPLED","NEED MATCHED",FALSE
"AS-009","oversample 2019","REJECTED",NA,NA
"AS-010","oversample 2019","REJECTED",NA,NA
"AS-011","oversample 2019","REJECTED",NA,NA
"GR-022","2019","SAMPLED","R036XY114CO",TRUE
"MC-045","2019","REJECTED",NA,NA
"MC-046","2019","REJECTED",NA,NA
"MC-047","2020","REJECTED",NA,NA
"MC-048","2020","SAMPLED","F048AY918CO",TRUE
"MC-049","2020","SAMPLED","R048AY238CO",TRUE
"MC-050","2021","REJECTED",NA,NA
"MC-051","2021","REJECTED",NA,NA
"MC-052","2021","SAMPLED","F048AY449CO",TRUE
"MMS-076","2019","SAMPLED","R036XY114CO",TRUE
"MMS-077","2019","REJECTED",NA,NA
"MMS-078","2019","REJECTED",NA,NA
"MMS-079","2019","SAMPLED","R036XY289CO",TRUE
"MMS-080","2019","REJECTED",NA,NA
"MMS-081","2020","SAMPLED","R048AY247CO",TRUE
"MMS-082","2020","SAMPLED","R034BY117UT",TRUE
"MMS-085","2020","SAMPLED","R048AY306UT",TRUE
"OT-112","2019","SAMPLED","R034BY109UT",TRUE
"PJ-136","2019","SAMPLED","R036XY114CO",TRUE
"PJ-137","2019","SAMPLED","R036XY284CO",TRUE
"PJ-138","2019","SAMPLED","R036XY113CO",TRUE
"PJ-139","2019","REJECTED",NA,NA
"PJ-140","2019","SAMPLED","R036XY326CO",TRUE
"PJ-141","2020","SAMPLED","R036XY114CO",TRUE
"PJ-144","2020","REJECTED",NA,NA
"PP-172","2019","SAMPLED","R035XY408CO",TRUE
"RI-194","2019","SAMPLED","R036XY113CO",TRUE
"RI-195","2019","SAMPLED","NEED MATCHED",FALSE
"RI-196","2019","SAMPLED","R036XY113CO",TRUE
"SD-336","2019","SAMPLED","R034XY403CO",TRUE
"SD-337","2019","SAMPLED","R034BY404CO",TRUE
"SD-338","2019","SAMPLED","R034BY404CO",TRUE
"SD-339","2019","SAMPLED","R036XY113CO",TRUE
"SD-340","2019","SAMPLED","R034BY006UT",TRUE
"SD-341","2019","SAMPLED","R034XY402CO",TRUE
"SD-342","2019","SAMPLED","R036XY326CO",TRUE
"SD-343","2019","SAMPLED","R034XY401CO",TRUE
"SD-344","2019","SAMPLED","R034BY104UT",TRUE
"SD-345","2019","REJECTED",NA,NA
"SD-346","2019","REJECTED",NA,NA
"SD-347","2019","SAMPLED","NEED MATCHED",FALSE
"SD-348","2019","SAMPLED","R034BY109UT",TRUE
"SD-349","2019","REJECTED",NA,NA
"SD-350","2019","SAMPLED","R034BY104UT",TRUE
"SD-351","2020","REJECTED",NA,NA
"SD-352","2020","SAMPLED","R034BY109UT",TRUE
"SD-353","2020","SAMPLED","R035XY408CO",TRUE
"SD-354","2020","SAMPLED","R035XY408CO",TRUE
"SS-237","2019","SAMPLED","R036XY113CO",TRUE
"SS-238","2019","SAMPLED","R048AY247CO",TRUE
"SS-239","2019","SAMPLED","R036XY325CO",TRUE
"SS-240","2019","SAMPLED","R036XY315UT",TRUE
"SS-241","2019","SAMPLED","R036XY113CO",TRUE
"SS-242","2019","SAMPLED","R034XY403CO",TRUE
"SS-243","2019","SAMPLED","R036XY113CO",TRUE
"SS-244","2019","SAMPLED","R036XY113CO",TRUE
"SS-245","2019","SAMPLED","R036XY114CO",TRUE
"SS-246","2019","SAMPLED","R034BY404CO",TRUE
"SS-247","2019","SAMPLED","R036XY326CO",TRUE
"SS-248","2019","SAMPLED","NEED MATCHED",FALSE
"SS-249","2019","REJECTED",NA,NA
"SS-250","2019","SAMPLED","NEED MATCHED",FALSE
"SS-251","2019","SAMPLED","NEED MATCHED",FALSE
"SS-252","2019","SAMPLED","R036XY445CO",TRUE
"SS-253","2020","SAMPLED","NEED MATCHED",FALSE
"SS-254","2020","SAMPLED","NEED MATCHED",FALSE
"AS-003","2020","REJECTED",NA,NA
"AS-004","2021","SAMPLED","R048AY247CO",TRUE
"GR-023","2020","SAMPLED","R036XY287CO",TRUE
"MC-053","2022","REJECTED",NA,NA
"MC-054","2022","REJECTED",NA,NA
"MC-055","2022","REJECTED",NA,NA
"MC-059","oversample 2019","REJECTED",NA,NA
"MC-060","oversample 2019","REJECTED",NA,NA
"MC-061","oversample 2019","REJECTED",NA,NA
"MC-062","oversample 2020","REJECTED",NA,NA
"MC-063","oversample 2020","REJECTED",NA,NA
"MC-064","oversample 2020","REJECTED",NA,NA
"MC-065","oversample 2021","REJECTED",NA,NA
"MC-066","oversample 2021","SAMPLED","F048AY918CO",TRUE
"MC-067","oversample 2021","REJECTED",NA,NA
"MC-068","oversample 2022","SAMPLED","F048AY918CO",TRUE
"MC-069","oversample 2022","REJECTED",NA,NA
"MC-070","oversample 2022","SAMPLED","F048AY918CO",TRUE
"MMS-086","2021","REJECTED",NA,NA
"MMS-087","2021","SAMPLED","R036XY328CO",TRUE
"MMS-088","2021","SAMPLED","R036XY325CO",TRUE
"MMS-089","2020","SAMPLED","R048AY306UT",TRUE
"OT-113","2020","SAMPLED","R036XY141CO",TRUE
"PJ-142","2020","SAMPLED","R036XY287CO",TRUE
"PJ-143","2020","SAMPLED","R036XY113CO",TRUE
"PJ-145","2020","REJECTED",NA,NA
"PJ-146","2021","SAMPLED","R048AY238CO",TRUE
"PJ-147","2021","SAMPLED","R036XY287CO",TRUE
"PJ-148","2021","SAMPLED","R036XY142CO",TRUE
"PP-173","2020","SAMPLED","R036XY114CO",TRUE
"RI-197","2020","REJECTED",NA,NA
"RI-198","2020","SAMPLED","R036XY113CO",TRUE
"RI-199","2020","SAMPLED","R034XY401CO",TRUE
"RI-200","2021","SAMPLED","R036XY142CO",TRUE
"SD-355","2020","SAMPLED","R036XY325CO",TRUE
"SD-356","2020","SAMPLED","R034BY006UT",TRUE
"SD-357","2020","SAMPLED","R034BY404CO",TRUE
"SD-358","2020","SAMPLED","R034XY401CO",TRUE
"SD-359","2020","SAMPLED","R034BY112UT",TRUE
"SD-360","2020","SAMPLED","R034XY410CO",TRUE
"SD-361","2020","SAMPLED","R034BY106UT",TRUE
"SD-362","2020","SAMPLED","R036XY114CO",TRUE
"SD-363","2020","SAMPLED","R036XY113CO",TRUE
"SD-364","2020","SAMPLED","R034BY109UT",TRUE
"SD-365","2020","SAMPLED","R034BY404CO",TRUE
"SD-366","2021","SAMPLED","R036XY326CO",TRUE
"SD-367","2021","SAMPLED","R034BY109UT",TRUE
"SD-368","2021","SAMPLED","R034BY106UT",TRUE
"SD-369","2021","SAMPLED","R036XY445CO",TRUE
"SS-255","2020","SAMPLED","R036XY114CO",TRUE
"SS-256","2020","SAMPLED","R036XY114CO",TRUE
"SS-257","2020","SAMPLED","R036XY113CO",TRUE
"SS-258","2020","SAMPLED","R036XY113CO",TRUE
"SS-259","2020","SAMPLED","R036XY315UT",TRUE
"SS-260","2020","SAMPLED","R036XY287CO",TRUE
"SS-261","2020","SAMPLED","R036XY114CO",TRUE
"SS-263","2020","REJECTED",NA,NA
"SS-264","2020","SAMPLED","R036XY114CO",TRUE
"SS-265","2020","SAMPLED","R036XY325CO",TRUE
"SS-266","2020","REJECTED",NA,NA
"SS-267","2020","SAMPLED","R036XY284CO",TRUE
"SS-268","2020","SAMPLED","R036XY284CO",TRUE
"SS-269","2021","SAMPLED","R036XY325CO",TRUE
"SS-270","2021","SAMPLED","R036XY289CO",TRUE
"SS-271","2021","SAMPLED","R034XY401CO",TRUE
"SS-272","2021","SAMPLED","R036XY325CO",TRUE
"AS-005","2022","REJECTED",NA,NA
"GR-024","2021","SAMPLED","R036XY287CO",TRUE
"OT-114","2021","REJECTED",NA,NA
"OT-115","2022","REJECTED",NA,NA
"PP-174","2021","REJECTED",NA,NA
"PP-175","2022","SAMPLED","R036XY284CO",TRUE
"MMS-090","2021","SAMPLED","R034XY403CO",TRUE
"MMS-091","2022","SAMPLED","R048AY238CO",TRUE
"MMS-092","2022","SAMPLED","R036XY289CO",TRUE
"MMS-093","2022","SAMPLED","R036XY346CO",TRUE
"MMS-094","2022","SAMPLED","R036XY289CO",TRUE
"RI-201","2021","REJECTED",NA,NA
"RI-202","2021","SAMPLED","R034BY006UT",TRUE
"RI-203","2022","SAMPLED","R036XY114CO",TRUE
"RI-204","2022","SAMPLED","R036XY325CO",TRUE
"PJ-149","2021","SAMPLED","R036XY284CO",TRUE
"PJ-150","2021","SAMPLED","R036XY141CO",TRUE
"PJ-151","2022","SAMPLED","R036XY325CO",TRUE
"PJ-152","2022","SAMPLED","R036XY445CO",TRUE
"PJ-153","2022","SAMPLED","R036XY113CO",TRUE
"PJ-154","2022","SAMPLED","R036XY114CO",TRUE
"SD-370","2021","SAMPLED","R036XY141CO",TRUE
"SD-371","2021","SAMPLED","R034BY233UT",TRUE
"SD-372","2021","SAMPLED","R034BY328CO",TRUE
"SD-373","2021","SAMPLED","R034XY401CO",TRUE
"SD-374","2021","SAMPLED","R048AY245CO",TRUE
"SD-375","2021","SAMPLED","R034XY401CO",TRUE
"SD-376","2021","REJECTED",NA,NA
"SD-377","2021","SAMPLED","R034XY262CO",TRUE
"SD-378","2021","SAMPLED","R036XY325CO",TRUE
"SD-379","2021","SAMPLED","R034BY106UT",TRUE
"SD-380","2021","SAMPLED","R034XY262CO",TRUE
"SD-381","2022","SAMPLED","R034BY404CO",TRUE
"SD-382","2022","SAMPLED","R036XY287CO",TRUE
"SD-383","2022","SAMPLED","R036XY289CO",TRUE
"SD-384","2022","SAMPLED","R034BY106UT",TRUE
"SD-385","2022","SAMPLED","R034BY404CO",TRUE
"SD-386","2022","SAMPLED","R034XY262CO",TRUE
"SD-387","2022","SAMPLED","R034XY406CO",TRUE
"SD-388","2022","SAMPLED","R034BY106UT",TRUE
"SD-389","2022","REJECTED",NA,NA
"SD-390","2022","REJECTED",NA,NA
"SD-391","2022","SAMPLED","R036XY113CO",TRUE
"SS-273","2021","SAMPLED","R036XY113CO",TRUE
"SS-274","2021","REJECTED",NA,NA
"SS-275","2021","SAMPLED","R036XY114CO",TRUE
"SS-276","2021","SAMPLED","R036XY113CO",TRUE
"SS-277","2021","SAMPLED","R036XY325CO",TRUE
"SS-278","2021","SAMPLED","R034BY106UT",TRUE
"SS-279","2021","SAMPLED","R036XY325CO",TRUE
"SS-280","2021","SAMPLED","R036XY325CO",TRUE
"SS-281","2021","SAMPLED","R048AY247CO",TRUE
"SS-282","2021","SAMPLED","R036XY141CO",TRUE
"SS-283","2021","SAMPLED","R036XY326CO",TRUE
"SS-284","2021","SAMPLED","R036XY328CO",TRUE
"SS-285","2022","SAMPLED","R034XY403CO",TRUE
"SS-286","2022","SAMPLED","R035XY136UT",TRUE
"SS-287","2022","SAMPLED","R036XY142CO",TRUE
"SS-288","2022","SAMPLED","R036XY326CO",TRUE
"SS-289","2022","SAMPLED","R036XY113CO",TRUE
"SS-290","2022","SAMPLED","R034XY406CO",TRUE
"SS-291","2022","SAMPLED","R036XY141CO",TRUE
"SS-292","2022","SAMPLED","R036XY326CO",TRUE
"SS-293","2022","SAMPLED","R036XY141CO",TRUE
"AS-013","oversample 2020","NOT SAMPLED",NA,NA
"AS-014","oversample 2020","REJECTED",NA,NA
"AS-015","oversample 2020","REJECTED",NA,NA
"AS-016","oversample 2021","NOT SAMPLED",NA,NA
"AS-017","oversample 2021","NOT SAMPLED",NA,NA
"AS-018","oversample 2022","NOT SAMPLED",NA,NA
"AS-019","oversample 2022","REJECTED",NA,NA
"AS-020","oversample 2022","NOT SAMPLED",NA,NA
"GR-025","2022","SAMPLED","R036XY114CO",TRUE
"OT-119","oversample 2019","REJECTED",NA,NA
"OT-120","oversample 2019","REJECTED",NA,NA
"OT-121","oversample 2019","REJECTED",NA,NA
"OT-122","oversample 2020","SAMPLED","NEED MATCHED",FALSE
"OT-123","oversample 2020","REJECTED",NA,NA
"OT-124","oversample 2020","REJECTED",NA,NA
"OT-125","oversample 2021","REJECTED",NA,NA
"OT-126","oversample 2021","SAMPLED","NEED MATCHED",FALSE
"PJ-155","2022","SAMPLED","R036XY114CO",TRUE
"PJ-159","oversample 2019","SAMPLED","R036XY114CO",TRUE
"PJ-160","oversample 2019","SAMPLED","R036XY114CO",TRUE
"PJ-161","oversample 2019","SAMPLED","R036XY114CO",TRUE
"PJ-162","oversample 2020","REJECTED",NA,NA
"PJ-163","oversample 2020","REJECTED",NA,NA
"PJ-164","oversample 2020","SAMPLED","NEED MATCHED",FALSE
"PJ-165","oversample 2021","SAMPLED","R036XY445CO",TRUE
"PJ-166","oversample 2021","SAMPLED","R036XY113CO",TRUE
"PJ-167","oversample 2021","SAMPLED","R036XY113CO",TRUE
"PJ-168","oversample 2022","SAMPLED","NEED MATCHED",FALSE
"PJ-169","oversample 2022","REJECTED",NA,NA
"PJ-170","oversample 2022","SAMPLED","NEED MATCHED",FALSE
"PP-179","oversample 2019","SAMPLED","R036XY289CO",TRUE
"PP-180","oversample 2019","SAMPLED","R048AY255CO",TRUE
"RI-205","2022","REJECTED",NA,NA
"RI-209","oversample 2019","SAMPLED","NEED MATCHED",FALSE
"RI-210","oversample 2019","SAMPLED","NEED MATCHED",FALSE
"RI-211","oversample 2019","REJECTED",NA,NA
"RI-212","oversample 2020","SAMPLED","NEED MATCHED",FALSE
"RI-213","oversample 2020","REJECTED",NA,NA
"RI-214","oversample 2020","NOT SAMPLED",NA,NA
"SS-294","2022","REJECTED",NA,NA
"SS-295","2022","SAMPLED","R036XY114CO",TRUE
"SS-296","2022","SAMPLED","UNMATCHABLE",FALSE
"SS-297","2022","SAMPLED","R034BY106UT",TRUE
"SS-298","2022","SAMPLED","NEED MATCHED",FALSE
"SS-299","2022","SAMPLED","R036XY325CO",TRUE
"SS-300","2022","SAMPLED","R034XY327CO",TRUE
"SS-305","oversample 2019","SAMPLED","R036XY113CO",TRUE
"SS-306","oversample 2019","SAMPLED","R034BY212UT",TRUE
"SS-307","oversample 2019","SAMPLED","R036XY326CO",TRUE
"SS-308","oversample 2019","SAMPLED","R036XY284CO",TRUE
"SS-309","oversample 2020","REJECTED",NA,NA
"SS-310","oversample 2020","SAMPLED","R034BY404CO",TRUE
"SS-311","oversample 2020","SAMPLED","R036XY326CO",TRUE
"SS-312","oversample 2020","SAMPLED","R036XY284CO",TRUE
"SS-313","oversample 2021","SAMPLED","R036XY114CO",TRUE
"SS-314","oversample 2021","SAMPLED","NEED MATCHED",FALSE
"SS-315","oversample 2021","SAMPLED","NEED MATCHED",FALSE
"SS-316","oversample 2021","SAMPLED","R036XY284CO",TRUE
"SS-317","oversample 2022","REJECTED",NA,NA
"SS-318","oversample 2022","SAMPLED","R036XY289CO",TRUE
"SS-319","oversample 2022","SAMPLED","R036XY326CO",TRUE
"SS-320","oversample 2022","SAMPLED","R036XY284CO",TRUE
"SD-392","2022","SAMPLED","R034BY117UT",TRUE
"SD-393","2022","SAMPLED","R036XY114CO",TRUE
"SD-394","2022","SAMPLED","NEED MATCHED",FALSE
"SD-395","2022","SAMPLED","NEED MATCHED",FALSE
"SD-399","oversample 2019","SAMPLED","R034XY298CO",TRUE
"SD-400","oversample 2019","REJECTED",NA,NA
"SD-401","oversample 2019","SAMPLED","R036XY113CO",TRUE
"SD-402","oversample 2020","REJECTED",NA,NA
"SD-403","oversample 2020","SAMPLED","R036XY284CO",TRUE
"SD-404","oversample 2020","SAMPLED","R034BY117UT",TRUE
"SD-405","oversample 2021","SAMPLED","NEED MATCHED",FALSE
"SD-406","oversample 2021","REJECTED",NA,NA
"SD-407","oversample 2021","SAMPLED","R034BY117UT",TRUE
"SD-408","oversample 2022","SAMPLED","R034BY112UT",TRUE
"SD-409","oversample 2022","SAMPLED","NEED MATCHED",FALSE
"SD-410","oversample 2022","SAMPLED","R034BY109UT",TRUE
"SD-411","oversample 2022","SAMPLED","R034BY109UT",TRUE
"SD-412","oversample 2022","SAMPLED","R034BY109UT",TRUE
"SD-413","oversample 2022","SAMPLED","R036XY113CO",TRUE
"SD-414","oversample 2022","SAMPLED","R034BY117UT",TRUE
"MMS-095","2022","SAMPLED","R036XY284CO",TRUE
"MMS-099","oversample 2019","SAMPLED","NEED MATCHED",FALSE
"MMS-100","oversample 2019","SAMPLED","R036XY284CO",TRUE
"MMS-101","oversample 2019","SAMPLED","R048AY306UT",TRUE
"MMS-102","oversample 2020","SAMPLED","R034BY006UT",TRUE
"MMS-103","oversample 2020","REJECTED",NA,NA
"MMS-104","oversample 2020","REJECTED",NA,NA
"MMS-105","oversample 2021","NOT SAMPLED",NA,NA
"SD-329","2019","SAMPLED","R034XY410CO",TRUE
"MMS-083","2020","SAMPLED","R036XY114CO",TRUE
"MMS-084","2020","SAMPLED","R034XY403CO",TRUE
"SS-262","2020","SAMPLED","R034BY404CO",TRUE
"AS-012","oversample 2020","SAMPLED","DRAFT ESD",FALSE
"GR-026","oversample 2018","SAMPLED","R036XY114CO",TRUE
"GR-027","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"GR-028","oversample 2018","SAMPLED","R034BY106UT",TRUE
"OT-117","oversample 2018","SAMPLED","R036XY326CO",TRUE
"PJ-158","oversample 2018","SAMPLED","R036XY113CO",TRUE
"PP-176","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"PP-177","oversample 2018","SAMPLED","R036XY287CO",TRUE
"MMS-096","oversample 2018","SAMPLED","R036XY113CO",TRUE
"MMS-097","oversample 2018","SAMPLED","NEED MATCHED",FALSE
"MMS-098","oversample 2018","SAMPLED","DRAFT ESD",FALSE
"OT-116","oversample 2018","REJECTED",NA,NA
"OT-118","oversample 2018","REJECTED",NA,NA
"PP-178","oversample 2018","REJECTED",NA,NA

